in s,C1 in V
2.36008496E-02,-2.02520E-01
2.36008544E-02,-2.26934E-01
2.36008592E-02,-2.22051E-01
2.36008640E-02,-2.22051E-01
2.36008688E-02,-2.22051E-01
2.36008736E-02,-2.22051E-01
2.36008784E-02,-2.26934E-01
2.36008832E-02,-2.17168E-01
2.36008880E-02,-2.22051E-01
2.36008928E-02,-2.26934E-01
2.36008976E-02,-2.36699E-01
2.36009024E-02,-2.22051E-01
2.36009072E-02,-2.26934E-01
2.36009120E-02,-2.31816E-01
2.36009168E-02,-2.31816E-01
2.36009216E-02,-2.22051E-01
2.36009264E-02,-2.31816E-01
2.36009312E-02,-2.41582E-01
2.36009360E-02,-2.22051E-01
2.36009408E-02,-2.22051E-01
2.36009456E-02,-2.26934E-01
2.36009504E-02,-2.22051E-01
2.36009552E-02,-2.46465E-01
2.36009600E-02,-2.36699E-01
2.36009648E-02,-2.36699E-01
2.36009696E-02,-2.26934E-01
2.36009744E-02,-2.36699E-01
2.36009792E-02,-2.26934E-01
2.36009840E-02,-2.26934E-01
2.36009888E-02,-2.41582E-01
2.36009936E-02,-2.41582E-01
2.36009984E-02,-2.26934E-01
2.36010032E-02,-2.26934E-01
2.36010080E-02,-2.31816E-01
2.36010128E-02,-2.31816E-01
2.36010176E-02,-2.41582E-01
2.36010224E-02,-2.36699E-01
2.36010272E-02,-2.41582E-01
2.36010320E-02,-2.56230E-01
2.36010368E-02,-2.46465E-01
2.36010416E-02,-2.51348E-01
2.36010464E-02,-2.51348E-01
2.36010512E-02,-2.51348E-01
2.36010560E-02,-2.46465E-01
2.36010608E-02,-2.46465E-01
2.36010656E-02,-2.51348E-01
2.36010704E-02,-2.46465E-01
2.36010752E-02,-2.46465E-01
2.36010800E-02,-2.61113E-01
2.36010848E-02,-2.46465E-01
2.36010896E-02,-2.46465E-01
2.36010944E-02,-2.61113E-01
2.36010992E-02,-2.46465E-01
2.36011040E-02,-2.65996E-01
2.36011088E-02,-2.56230E-01
2.36011136E-02,-2.61113E-01
2.36011184E-02,-2.65996E-01
2.36011232E-02,-2.65996E-01
2.36011280E-02,-2.46465E-01
2.36011328E-02,-2.56230E-01
2.36011376E-02,-2.61113E-01
2.36011424E-02,-2.51348E-01
2.36011472E-02,-2.65996E-01
2.36011520E-02,-2.61113E-01
2.36011568E-02,-2.61113E-01
2.36011616E-02,-2.65996E-01
2.36011664E-02,-2.61113E-01
2.36011712E-02,-2.51348E-01
2.36011760E-02,-2.56230E-01
2.36011808E-02,-2.65996E-01
2.36011856E-02,-2.61113E-01
2.36011904E-02,-2.65996E-01
2.36011952E-02,-2.80645E-01
2.36012000E-02,-2.70879E-01
2.36012048E-02,-2.51348E-01
2.36012096E-02,-2.80645E-01
2.36012144E-02,-2.61113E-01
2.36012192E-02,-2.75762E-01
