in s,C3 in V
2.37804488E-02,1.10840E+00
2.37804512E-02,1.11816E+00
2.37804536E-02,1.13770E+00
2.37804560E-02,1.11816E+00
2.37804584E-02,1.13770E+00
2.37804608E-02,1.13770E+00
2.37804632E-02,1.12793E+00
2.37804656E-02,1.10840E+00
2.37804680E-02,1.08887E+00
2.37804704E-02,1.11816E+00
2.37804728E-02,1.13770E+00
2.37804752E-02,1.07910E+00
2.37804776E-02,1.13770E+00
2.37804800E-02,1.13770E+00
2.37804824E-02,1.11816E+00
2.37804848E-02,1.15723E+00
2.37804872E-02,1.14746E+00
2.37804896E-02,1.15723E+00
2.37804920E-02,1.08887E+00
2.37804944E-02,1.14746E+00
2.37804968E-02,1.14746E+00
2.37804992E-02,1.14746E+00
2.37805016E-02,1.12793E+00
2.37805040E-02,1.10840E+00
2.37805064E-02,1.16699E+00
2.37805088E-02,1.08887E+00
2.37805112E-02,1.12793E+00
2.37805136E-02,1.14746E+00
2.37805160E-02,1.14746E+00
2.37805184E-02,1.14746E+00
2.37805208E-02,1.17676E+00
2.37805232E-02,1.15723E+00
2.37805256E-02,1.16699E+00
2.37805280E-02,1.12793E+00
2.37805304E-02,1.17676E+00
2.37805328E-02,1.14746E+00
2.37805352E-02,1.17676E+00
2.37805376E-02,1.15723E+00
2.37805400E-02,1.14746E+00
2.37805424E-02,1.15723E+00
2.37805448E-02,1.17676E+00
2.37805472E-02,1.14746E+00
2.37805496E-02,1.14746E+00
2.37805520E-02,1.14746E+00
2.37805544E-02,1.13770E+00
2.37805568E-02,1.16699E+00
2.37805592E-02,1.14746E+00
2.37805616E-02,1.14746E+00
2.37805640E-02,1.14746E+00
2.37805664E-02,1.14746E+00
2.37805688E-02,1.14746E+00
2.37805712E-02,1.14746E+00
2.37805736E-02,1.14746E+00
2.37805760E-02,1.17676E+00
2.37805784E-02,1.15723E+00
2.37805808E-02,1.13770E+00
2.37805832E-02,1.16699E+00
2.37805856E-02,1.16699E+00
2.37805880E-02,1.17676E+00
2.37805904E-02,1.16699E+00
2.37805928E-02,1.17676E+00
2.37805952E-02,1.15723E+00
2.37805976E-02,1.19629E+00
2.37806000E-02,1.16699E+00
2.37806024E-02,1.17676E+00
2.37806048E-02,1.17676E+00
2.37806072E-02,1.18652E+00
2.37806096E-02,1.16699E+00
2.37806120E-02,1.14746E+00
2.37806144E-02,1.18652E+00
2.37806168E-02,1.14746E+00
2.37806192E-02,1.14746E+00
2.37806216E-02,1.17676E+00
2.37806240E-02,1.17676E+00
2.37806264E-02,1.16699E+00
2.37806288E-02,1.18652E+00
2.37806312E-02,1.17676E+00
2.37806336E-02,1.19629E+00
2.37806360E-02,1.15723E+00
2.37806384E-02,1.17676E+00
2.37806408E-02,1.18652E+00
2.37806432E-02,1.18652E+00
2.37806456E-02,1.18652E+00
2.37806480E-02,1.17676E+00
2.37806504E-02,1.17676E+00
2.37806528E-02,1.18652E+00
2.37806552E-02,1.16699E+00
2.37806576E-02,1.19629E+00
2.37806600E-02,1.22559E+00
2.37806624E-02,1.21582E+00
2.37806648E-02,1.18652E+00
2.37806672E-02,1.16699E+00
2.37806696E-02,1.19629E+00
2.37806720E-02,1.22559E+00
2.37806744E-02,1.18652E+00
2.37806768E-02,1.21582E+00
2.37806792E-02,1.19629E+00
2.37806816E-02,1.22559E+00
2.37806840E-02,1.18652E+00
2.37806864E-02,1.19629E+00
2.37806888E-02,1.19629E+00
2.37806912E-02,1.20605E+00
2.37806936E-02,1.20605E+00
2.37806960E-02,1.19629E+00
2.37806984E-02,1.21582E+00
2.37807008E-02,1.21582E+00
2.37807032E-02,1.19629E+00
2.37807056E-02,1.22559E+00
2.37807080E-02,1.21582E+00
2.37807104E-02,1.19629E+00
2.37807128E-02,1.22559E+00
2.37807152E-02,1.20605E+00
2.37807176E-02,1.20605E+00
2.37807200E-02,1.23535E+00
2.37807224E-02,1.17676E+00
2.37807248E-02,1.19629E+00
2.37807272E-02,1.21582E+00
2.37807296E-02,1.20605E+00
2.37807320E-02,1.20605E+00
2.37807344E-02,1.21582E+00
2.37807368E-02,1.21582E+00
2.37807392E-02,1.19629E+00
2.37807416E-02,1.22559E+00
2.37807440E-02,1.21582E+00
2.37807464E-02,1.21582E+00
2.37807488E-02,1.24512E+00
2.37807512E-02,1.18652E+00
2.37807536E-02,1.24512E+00
2.37807560E-02,1.23535E+00
2.37807584E-02,1.19629E+00
2.37807608E-02,1.24512E+00
2.37807632E-02,1.22559E+00
2.37807656E-02,1.24512E+00
2.37807680E-02,1.21582E+00
2.37807704E-02,1.21582E+00
2.37807728E-02,1.23535E+00
2.37807752E-02,1.21582E+00
2.37807776E-02,1.23535E+00
2.37807800E-02,1.24512E+00
2.37807824E-02,1.17676E+00
2.37807848E-02,1.21582E+00
2.37807872E-02,1.22559E+00
2.37807896E-02,1.21582E+00
2.37807920E-02,1.20605E+00
2.37807944E-02,1.24512E+00
2.37807968E-02,1.21582E+00
2.37807992E-02,1.23535E+00
2.37808016E-02,1.21582E+00
2.37808040E-02,1.21582E+00
2.37808064E-02,1.27441E+00
2.37808088E-02,1.21582E+00
2.37808112E-02,1.20605E+00
2.37808136E-02,1.24512E+00
2.37808160E-02,1.23535E+00
2.37808184E-02,1.24512E+00
2.37808208E-02,1.22559E+00
2.37808232E-02,1.26465E+00
2.37808256E-02,1.24512E+00
2.37808280E-02,1.19629E+00
2.37808304E-02,1.24512E+00
2.37808328E-02,1.23535E+00
2.37808352E-02,1.25488E+00
2.37808376E-02,1.24512E+00
2.37808400E-02,1.22559E+00
2.37808424E-02,1.24512E+00
2.37808448E-02,1.22559E+00
2.37808472E-02,1.22559E+00
2.37808496E-02,1.23535E+00
2.37808520E-02,1.24512E+00
2.37808544E-02,1.27441E+00
2.37808568E-02,1.21582E+00
2.37808592E-02,1.24512E+00
2.37808616E-02,1.27441E+00
2.37808640E-02,1.26465E+00
2.37808664E-02,1.24512E+00
2.37808688E-02,1.21582E+00
2.37808712E-02,1.28418E+00
2.37808736E-02,1.22559E+00
2.37808760E-02,1.24512E+00
2.37808784E-02,1.23535E+00
2.37808808E-02,1.25488E+00
2.37808832E-02,1.22559E+00
2.37808856E-02,1.22559E+00
2.37808880E-02,1.26465E+00
2.37808904E-02,1.27441E+00
2.37808928E-02,1.26465E+00
2.37808952E-02,1.23535E+00
2.37808976E-02,1.23535E+00
2.37809000E-02,1.25488E+00
2.37809024E-02,1.24512E+00
2.37809048E-02,1.24512E+00
2.37809072E-02,1.27441E+00
2.37809096E-02,1.27441E+00
2.37809120E-02,1.24512E+00
2.37809144E-02,1.24512E+00
2.37809168E-02,1.25488E+00
2.37809192E-02,1.26465E+00
2.37809216E-02,1.27441E+00
2.37809240E-02,1.25488E+00
2.37809264E-02,1.25488E+00
2.37809288E-02,1.25488E+00
2.37809312E-02,1.27441E+00
2.37809336E-02,1.27441E+00
2.37809360E-02,1.28418E+00
2.37809384E-02,1.28418E+00
2.37809408E-02,1.27441E+00
2.37809432E-02,1.25488E+00
2.37809456E-02,1.25488E+00
2.37809480E-02,1.27441E+00
2.37809504E-02,1.26465E+00
2.37809528E-02,1.25488E+00
2.37809552E-02,1.28418E+00
2.37809576E-02,1.28418E+00
2.37809600E-02,1.29395E+00
2.37809624E-02,1.26465E+00
2.37809648E-02,1.27441E+00
2.37809672E-02,1.29395E+00
2.37809696E-02,1.23535E+00
2.37809720E-02,1.26465E+00
2.37809744E-02,1.26465E+00
2.37809768E-02,1.28418E+00
2.37809792E-02,1.26465E+00
2.37809816E-02,1.28418E+00
2.37809840E-02,1.28418E+00
2.37809864E-02,1.29395E+00
2.37809888E-02,1.28418E+00
2.37809912E-02,1.27441E+00
2.37809936E-02,1.29395E+00
2.37809960E-02,1.25488E+00
2.37809984E-02,1.30371E+00
2.37810008E-02,1.25488E+00
2.37810032E-02,1.28418E+00
2.37810056E-02,1.29395E+00
2.37810080E-02,1.26465E+00
2.37810104E-02,1.28418E+00
2.37810128E-02,1.30371E+00
2.37810152E-02,1.31348E+00
2.37810176E-02,1.28418E+00
2.37810200E-02,1.28418E+00
2.37810224E-02,1.25488E+00
2.37810248E-02,1.29395E+00
2.37810272E-02,1.27441E+00
2.37810296E-02,1.24512E+00
2.37810320E-02,1.29395E+00
2.37810344E-02,1.32324E+00
2.37810368E-02,1.31348E+00
2.37810392E-02,1.28418E+00
2.37810416E-02,1.30371E+00
2.37810440E-02,1.29395E+00
2.37810464E-02,1.29395E+00
2.37810488E-02,1.31348E+00
2.37810512E-02,1.26465E+00
2.37810536E-02,1.30371E+00
2.37810560E-02,1.32324E+00
2.37810584E-02,1.32324E+00
2.37810608E-02,1.34277E+00
2.37810632E-02,1.31348E+00
2.37810656E-02,1.30371E+00
2.37810680E-02,1.30371E+00
2.37810704E-02,1.28418E+00
2.37810728E-02,1.29395E+00
2.37810752E-02,1.29395E+00
2.37810776E-02,1.31348E+00
2.37810800E-02,1.30371E+00
2.37810824E-02,1.30371E+00
2.37810848E-02,1.29395E+00
2.37810872E-02,1.31348E+00
2.37810896E-02,1.31348E+00
2.37810920E-02,1.32324E+00
2.37810944E-02,1.36230E+00
2.37810968E-02,1.29395E+00
2.37810992E-02,1.30371E+00
2.37811016E-02,1.30371E+00
2.37811040E-02,1.27441E+00
2.37811064E-02,1.31348E+00
2.37811088E-02,1.26465E+00
2.37811112E-02,1.28418E+00
2.37811136E-02,1.31348E+00
2.37811160E-02,1.29395E+00
2.37811184E-02,1.31348E+00
2.37811208E-02,1.29395E+00
2.37811232E-02,1.31348E+00
2.37811256E-02,1.33301E+00
2.37811280E-02,1.31348E+00
2.37811304E-02,1.30371E+00
2.37811328E-02,1.33301E+00
2.37811352E-02,1.32324E+00
2.37811376E-02,1.30371E+00
2.37811400E-02,1.29395E+00
2.37811424E-02,1.33301E+00
2.37811448E-02,1.29395E+00
2.37811472E-02,1.29395E+00
2.37811496E-02,1.32324E+00
2.37811520E-02,1.32324E+00
2.37811544E-02,1.31348E+00
2.37811568E-02,1.34277E+00
2.37811592E-02,1.29395E+00
2.37811616E-02,1.32324E+00
2.37811640E-02,1.31348E+00
2.37811664E-02,1.31348E+00
2.37811688E-02,1.33301E+00
2.37811712E-02,1.31348E+00
2.37811736E-02,1.32324E+00
2.37811760E-02,1.33301E+00
2.37811784E-02,1.32324E+00
2.37811808E-02,1.35254E+00
2.37811832E-02,1.33301E+00
2.37811856E-02,1.33301E+00
2.37811880E-02,1.32324E+00
2.37811904E-02,1.33301E+00
2.37811928E-02,1.32324E+00
2.37811952E-02,1.33301E+00
2.37811976E-02,1.35254E+00
2.37812000E-02,1.32324E+00
2.37812024E-02,1.30371E+00
2.37812048E-02,1.32324E+00
2.37812072E-02,1.31348E+00
2.37812096E-02,1.36230E+00
2.37812120E-02,1.31348E+00
2.37812144E-02,1.35254E+00
2.37812168E-02,1.35254E+00
2.37812192E-02,1.33301E+00
2.37812216E-02,1.36230E+00
2.37812240E-02,1.34277E+00
2.37812264E-02,1.34277E+00
2.37812288E-02,1.33301E+00
2.37812312E-02,1.36230E+00
2.37812336E-02,1.35254E+00
