Interval between events (microseconds) - histogram count,Number of counts - histogram count
12,5632
36,5635
60,4934
84,4316
108,3760
132,3388
156,3037
180,2681
204,2234
228,2105
252,1818
276,1586
300,1405
324,1209
348,1115
372,947
396,840
420,744
444,672
468,600
