Counts per cycle - histogram count,Number of cycles - histogram count
72.55,1
75.65,0
78.75,2
81.85,5
84.95,3
88.05,9
91.15,7
94.25,9
97.35,10
100.45,16
103.55,6
106.65,18
109.75,3
112.85,2
115.95,5
119.05,2
122.15,1
125.25,0
128.35,0
131.45,1
