Interval between events (microseconds) - histogram count,Number of counts - histogram count
3,4911
9,7119
15,7026
21,6742
27,6673
33,6456
39,6375
45,6214
51,5895
57,5729
63,5640
69,5205
75,5333
81,5137
87,4887
93,4777
99,4614
105,4541
111,4325
117,4274
