Sheets,Thickness (mm),Counts/s,Log,yerr
0,0,1222,7.10824414,3.495711659
D,0.09,1089,6.993015123,3.3
E,0.19,903.64,6.806431051,3.006060545
DE,0.29,794.46,6.677662639,2.818616682
A,0.48,619.76,6.429332306,2.489497941
AD,0.57,528.09,6.269266724,2.298020888
AE,0.68,466.24,6.144700523,2.159259132
AB,0.96,302.68,5.712676142,1.7397701
AED,0.78,396.66,5.983079491,1.991632496
ABD,1.07,257.6,5.551407994,1.604992212
ABE,1.19,218.21,5.385457902,1.477193285
ABC,1.47,135.53,4.909193018,1.164173527
