in s,C3 in V
2.99957280E-02,4.88281E-03
2.99957376E-02,4.88281E-03
2.99957472E-02,-4.88281E-03
2.99957568E-02,-1.46484E-02
2.99957664E-02,1.46484E-02
2.99957760E-02,-2.44141E-02
2.99957856E-02,2.44141E-02
2.99957952E-02,-2.44141E-02
2.99958048E-02,1.46484E-02
2.99958144E-02,-4.88281E-03
2.99958240E-02,-4.88281E-03
2.99958336E-02,2.44141E-02
2.99958432E-02,-2.44141E-02
2.99958528E-02,-4.88281E-03
2.99958624E-02,-2.44141E-02
2.99958720E-02,-4.88281E-03
2.99958816E-02,-3.41797E-02
2.99958912E-02,4.88281E-03
2.99959008E-02,-4.88281E-03
2.99959104E-02,-3.41797E-02
2.99959200E-02,1.46484E-02
2.99959296E-02,4.88281E-03
2.99959392E-02,-4.88281E-03
2.99959488E-02,-4.88281E-03
2.99959584E-02,-2.44141E-02
2.99959680E-02,-4.88281E-03
2.99959776E-02,2.44141E-02
2.99959872E-02,-4.88281E-03
2.99959968E-02,-4.88281E-03
2.99960064E-02,-4.88281E-03
2.99960160E-02,-4.88281E-03
2.99960256E-02,4.88281E-03
2.99960352E-02,4.88281E-03
2.99960448E-02,2.44141E-02
2.99960544E-02,-4.88281E-03
2.99960640E-02,-6.34766E-02
2.99960736E-02,1.46484E-02
2.99960832E-02,1.46484E-02
2.99960928E-02,-1.46484E-02
2.99961024E-02,-1.46484E-02
2.99961120E-02,4.88281E-03
2.99961216E-02,-3.41797E-02
2.99961312E-02,-2.44141E-02
2.99961408E-02,-2.44141E-02
2.99961504E-02,1.46484E-02
2.99961600E-02,-1.46484E-02
2.99961696E-02,1.46484E-02
2.99961792E-02,-2.44141E-02
2.99961888E-02,2.44141E-02
2.99961984E-02,2.44141E-02
2.99962080E-02,-4.88281E-03
2.99962176E-02,-1.46484E-02
2.99962272E-02,4.88281E-03
2.99962368E-02,-1.46484E-02
2.99962464E-02,1.46484E-02
2.99962560E-02,-4.88281E-03
2.99962656E-02,3.41797E-02
2.99962752E-02,4.88281E-03
2.99962848E-02,3.41797E-02
2.99962944E-02,4.88281E-03
2.99963040E-02,-4.88281E-03
2.99963136E-02,1.46484E-02
2.99963232E-02,-3.41797E-02
2.99963328E-02,-3.41797E-02
2.99963424E-02,-4.88281E-03
2.99963520E-02,-2.44141E-02
2.99963616E-02,4.88281E-03
2.99963712E-02,-1.46484E-02
2.99963808E-02,2.44141E-02
2.99963904E-02,-4.88281E-03
2.99964000E-02,4.88281E-03
2.99964096E-02,4.88281E-03
2.99964192E-02,2.44141E-02
2.99964288E-02,-1.46484E-02
2.99964384E-02,4.88281E-03
2.99964480E-02,1.46484E-02
2.99964576E-02,-4.88281E-03
2.99964672E-02,-4.88281E-03
2.99964768E-02,-4.88281E-03
2.99964864E-02,-2.44141E-02
2.99964960E-02,-4.88281E-03
2.99965056E-02,-3.41797E-02
2.99965152E-02,-3.41797E-02
2.99965248E-02,2.44141E-02
2.99965344E-02,1.46484E-02
2.99965440E-02,-4.88281E-03
2.99965536E-02,-4.88281E-03
2.99965632E-02,-4.88281E-03
2.99965728E-02,-4.88281E-03
2.99965824E-02,-4.88281E-03
2.99965920E-02,-4.88281E-03
2.99966016E-02,4.88281E-03
2.99966112E-02,-4.88281E-03
2.99966208E-02,4.88281E-03
2.99966304E-02,2.44141E-02
2.99966400E-02,4.88281E-03
2.99966496E-02,1.46484E-02
2.99966592E-02,-1.46484E-02
2.99966688E-02,-1.46484E-02
2.99966784E-02,1.46484E-02
2.99966880E-02,2.44141E-02
2.99966976E-02,-4.88281E-03
2.99967072E-02,4.88281E-03
2.99967168E-02,-3.41797E-02
2.99967264E-02,-4.88281E-03
2.99967360E-02,-1.46484E-02
2.99967456E-02,-2.44141E-02
2.99967552E-02,-3.41797E-02
2.99967648E-02,4.88281E-03
2.99967744E-02,-4.88281E-03
2.99967840E-02,1.46484E-02
2.99967936E-02,-1.46484E-02
2.99968032E-02,-2.44141E-02
2.99968128E-02,1.46484E-02
2.99968224E-02,-2.44141E-02
2.99968320E-02,-1.46484E-02
2.99968416E-02,-4.88281E-03
2.99968512E-02,-4.88281E-03
2.99968608E-02,3.41797E-02
2.99968704E-02,-4.39453E-02
2.99968800E-02,1.46484E-02
2.99968896E-02,-4.88281E-03
2.99968992E-02,4.88281E-03
2.99969088E-02,-4.88281E-03
2.99969184E-02,-2.44141E-02
2.99969280E-02,-1.46484E-02
2.99969376E-02,-4.88281E-03
2.99969472E-02,-4.88281E-03
2.99969568E-02,-3.41797E-02
2.99969664E-02,4.88281E-03
2.99969760E-02,-4.88281E-03
